"country","year","ideal_point"
"NZL",2004,-3.03342040645382
"OMN",2004,4.09987316911401
"PAK",2004,2.41451554767224
"PAN",2004,0.639844900526776
"PER",2004,0.711860658640032
"PHL",2004,1.08139228716881
"PLW",2004,-1.17183350632022
"PNG",2004,1.32458542873255
"POL",2004,-6.34758419067871
"PRK",2004,2.09604029992396
"PRT",2004,-5.98352381820716
"PRY",2004,0.13187890680013
"PSE",2004,-0.0902428855574503
"QAT",2004,4.12834214850848
"ROU",2004,-0.327854279606382
"RUS",2004,-1.53925332565989
"RWA",2004,1.52754741143202
"SAU",2004,4.62278376369471
"SDN",2004,5.015726640865
"SEN",2004,3.11797284118729
"SGP",2004,1.55517807213237
"SLB",2004,0.275824201317634
"SLE",2004,1.56668880057197
"SLV",2004,0.155127004363572
"SMR",2004,-1.97890689538002
"SOM",2004,3.79376070605541
"SRB",2004,-1.30071132043047
"STP",2004,1.81145947689282
"SUR",2004,1.58632296864614
"SVK",2004,-5.67026603233214
"SVN",2004,-6.10977540023386
"SWE",2004,-6.52254178781068
"SWZ",2004,1.80540055797773
"SYC",2004,1.73490279869295
"SYR",2004,2.73541416840565
"TCD",2004,1.92023021582085
"TGO",2004,1.95590569227593
"THA",2004,0.752345748661535
"TJK",2004,0.309183755555117
"TKM",2004,1.5137530345374
"TLS",2004,0.798967738752473
"TON",2004,0.295766430490016
"TTO",2004,1.27166890741157
"TUN",2004,3.72530619721668
"TUR",2004,-2.43173198639154
"TUV",2004,-1.30476306424297
"TZA",2004,1.76230170010858
"UGA",2004,1.49724846875207
"UKR",2004,-2.83117106413501
"URY",2004,0.0845476633839147
"USA",2004,-2.21351695612776
"UZB",2004,-0.644191319015122
"VCT",2004,1.22522879281465
"VEN",2004,1.62799213931307
"VNM",2004,2.09539862589309
"VUT",2004,1.48696106466607
"WSM",2004,0.237108244149508
"YEM",2004,3.99133458995752
"ZAF",2004,2.23279067993536
"ZMB",2004,1.72797779405857
"ZWE",2004,2.29949401081792
"AFG",2005,1.7015010355932
"AGO",2005,1.38581304209498
"ALB",2005,-3.0881828894568
"AND",2005,-3.09505000287001
"ARE",2005,4.16768371834851
"ARG",2005,-0.0453420884172787
"ARM",2005,-1.88436577090099
"ATG",2005,0.568051758394885
"AUS",2005,-3.79990831554151
"AUT",2005,-6.91014289544713
"AZE",2005,-1.37462298851981
"BDI",2005,1.65387051311449
"BEL",2005,-6.77920900022708
"BEN",2005,1.49603988188393
"BFA",2005,1.85214409219118
"BGD",2005,3.66408509251078
"BGR",2005,-5.19663306898598
"BHR",2005,4.23581537942573
"BHS",2005,1.63447032675507
"BIH",2005,-0.0255878933114226
"BLR",2005,-0.818035473068642
"BLZ",2005,1.36032228562431
"BOL",2005,0.732465395337066
"BRA",2005,0.00573124910904199
"BRB",2005,1.68796191866308
"BRN",2005,3.68525859001755
"BTN",2005,1.69659574732689
"BWA",2005,1.70056716352609
"CAF",2005,1.46032517929875
"CAN",2005,-4.82402804075545
"CHE",2005,-3.99287422124889
"CHL",2005,0.466183938131172
"CHN",2005,0.428873836182218
"CIV",2005,1.42454838381697
"CMR",2005,1.59544970900555
"COD",2005,1.69920865131733
"COG",2005,1.58267522988096
"COL",2005,1.11273122905126
"COM",2005,4.00019137194683
"CPV",2005,1.13139296413638
"CRI",2005,0.0373721534908003
"CUB",2005,3.73097620627396
"CYP",2005,-4.55741695511858
"CZE",2005,-6.3850030986533
"DEU",2005,-6.12621082412437
"DJI",2005,4.19370873893398
"DMA",2005,0.583619873234911
"DNK",2005,-6.72460709675619
"DOM",2005,0.827772703356916
"DZA",2005,4.27955916892234
"ECU",2005,0.785299600797012
"EGY",2005,4.94926583480918
"ERI",2005,1.78379519166067
"ESP",2005,-6.63645501055283
"EST",2005,-5.38035010049194
"ETH",2005,1.69867839538227
"FIN",2005,-7.03342473900851
"FJI",2005,0.213822650616787
"FRA",2005,-6.26289176468175
"FSM",2005,0.185526615517159
"GAB",2005,1.69962493767624
"GBR",2005,-6.55095188603555
"GEO",2005,-1.92484481035149
"GHA",2005,1.42543193044174
"GIN",2005,3.33358792781973
"GMB",2005,1.81186094215247
"GNB",2005,1.80078779669667
"GNQ",2005,1.78239401505219
"GRC",2005,-6.61180412936812
"GRD",2005,1.4139301181615
"GTM",2005,0.620096355037334
"GUY",2005,1.63975076842659
"HND",2005,0.977518476707677
"HRV",2005,-4.8969363012952
"HTI",2005,0.377515873251067
"HUN",2005,-6.7628654101892
"IDN",2005,3.76408700690228
"IND",2005,1.44405387917876
"IRL",2005,-6.45352934159983
"IRN",2005,2.45643628205216
"IRQ",2005,3.55800700595533
"ISL",2005,-4.25642046327372
"ISR",2005,-2.19975623617156
"ITA",2005,-6.53497200190126
"JAM",2005,1.40058989276233
"JOR",2005,3.64344164979202
"JPN",2005,-2.94144011841978
"KAZ",2005,-1.36720937971063
"KEN",2005,1.45813613974034
"KGZ",2005,-1.37434033593714
"KHM",2005,1.6118494454529
"KIR",2005,0.37590971049932
"KNA",2005,0.549014024067655
"KOR",2005,-2.46792930825905
"KWT",2005,4.15428357951314
"LAO",2005,2.14707045194024
"LBN",2005,3.53475098031701
"LBR",2005,1.34027915301946
"LBY",2005,2.77495351004772
"LCA",2005,1.44983500750971
"LIE",2005,-3.8943420715909
"LKA",2005,1.68890219578934
"LSO",2005,1.64315684339489
"LTU",2005,-5.96243119726408
"LUX",2005,-6.29929049416717
"LVA",2005,-5.57082535234192
"MAR",2005,3.62895588700289
"MCO",2005,-3.3668575702437
"MDA",2005,-3.64818554449983
"MDG",2005,1.76798002015702
"MDV",2005,1.67354664853331
"MEX",2005,-1.60673242740846
"MHL",2005,0.303729360055842
"MKD",2005,-4.726964671139
"MLI",2005,2.61690106180716
"MLT",2005,-2.79986544651441
"MMR",2005,2.0246053882584
"MNE",2005,-1.4483774700075
"MNG",2005,0.991687618407882
"MOZ",2005,1.67988842536745
"MRT",2005,3.75991084986231
