min_duration_years,sample,iso3c,country_name,cs_role_min5,ever_treated,treated_years,untreated_years,first_treat,first_year_in_panel,last_year_in_panel
3,risk_set_restricted,KEN,Kenya,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,KHM,Cambodia,never_treated,FALSE,0,30,,1991,2022
3,risk_set_restricted,KIR,Kiribati,never_treated,FALSE,0,23,,2000,2022
3,risk_set_restricted,KNA,St. Kitts & Nevis,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,KOR,South Korea,treated_min5,TRUE,20,12,2003,1991,2022
3,risk_set_restricted,KWT,Kuwait,treated_min5,TRUE,5,28,2018,1990,2022
3,risk_set_restricted,LBN,Lebanon,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,LBY,Libya,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,LCA,St. Lucia,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,LKA,Sri Lanka,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,LSO,Lesotho,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,LTU,Lithuania,never_treated,FALSE,0,31,,1992,2022
3,risk_set_restricted,LUX,Luxembourg,never_treated,FALSE,0,24,,1999,2022
3,risk_set_restricted,LVA,Latvia,never_treated,FALSE,0,31,,1992,2022
3,risk_set_restricted,MAR,Morocco,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,MCO,Monaco,never_treated,FALSE,0,10,,1993,2004
3,risk_set_restricted,MDA,Moldova,never_treated,FALSE,0,31,,1992,2022
3,risk_set_restricted,MDG,Madagascar,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,MDV,Maldives,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,MEX,Mexico,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,MHL,Marshall Islands,never_treated,FALSE,0,32,,1991,2022
3,risk_set_restricted,MKD,North Macedonia,never_treated,FALSE,0,30,,1993,2022
3,risk_set_restricted,MMR,Myanmar (Burma),treated_min5,TRUE,9,24,2014,1990,2022
3,risk_set_restricted,MNE,Montenegro,never_treated,FALSE,0,17,,2006,2022
3,risk_set_restricted,MRT,Mauritania,treated_min5,TRUE,17,15,2006,1990,2022
3,risk_set_restricted,MUS,Mauritius,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,MWI,Malawi,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,MYS,Malaysia,treated_min5,TRUE,14,19,2009,1990,2022
3,risk_set_restricted,NAM,Namibia,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,NER,Niger,never_treated,FALSE,0,30,,1990,2022
3,risk_set_restricted,NGA,Nigeria,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,NIC,Nicaragua,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,NLD,Netherlands,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,NOR,Norway,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,NPL,Nepal,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,NRU,Nauru,never_treated,FALSE,0,23,,2000,2022
3,risk_set_restricted,NZL,New Zealand,treated_min5,TRUE,10,23,2013,1990,2022
3,risk_set_restricted,OMN,Oman,treated_min5,TRUE,19,13,2004,1990,2022
3,risk_set_restricted,PAK,Pakistan,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,PER,Peru,treated_min5,TRUE,13,20,2010,1990,2022
3,risk_set_restricted,PHL,Philippines,treated_min5,TRUE,18,15,2005,1990,2022
3,risk_set_restricted,PLW,Palau,never_treated,FALSE,0,25,,1995,2022
3,risk_set_restricted,POL,Poland,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,PRK,North Korea,treated_min5,TRUE,16,11,2002,1991,2019
3,risk_set_restricted,PRT,Portugal,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,PRY,Paraguay,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,ROU,Romania,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,RUS,Russia,treated_min5,TRUE,11,20,2012,1992,2022
3,risk_set_restricted,RWA,Rwanda,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,SAU,Saudi Arabia,treated_min5,TRUE,10,23,2013,1990,2022
3,risk_set_restricted,SDN,Sudan,treated_min5,TRUE,10,10,2000,1990,2010
3,risk_set_restricted,SEN,Senegal,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,SGP,Singapore,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,SLB,Solomon Islands,treated_min5,TRUE,20,13,2003,1990,2022
3,risk_set_restricted,SLE,Sierra Leone,treated_min5,TRUE,11,22,2012,1990,2022
3,risk_set_restricted,SLV,El Salvador,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,SMR,San Marino,never_treated,FALSE,0,23,,2000,2022
3,risk_set_restricted,SOM,Somalia,never_treated,FALSE,0,23,,1990,2022
3,risk_set_restricted,STP,São Tomé & Príncipe,never_treated,FALSE,0,24,,1991,2022
3,risk_set_restricted,SUR,Suriname,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,SVK,Slovakia,never_treated,FALSE,0,30,,1993,2022
3,risk_set_restricted,SVN,Slovenia,never_treated,FALSE,0,31,,1992,2022
3,risk_set_restricted,SWE,Sweden,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,SWZ,Eswatini,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,SYC,Seychelles,never_treated,FALSE,0,31,,1990,2022
3,risk_set_restricted,SYR,Syria,never_treated,FALSE,0,33,,1990,2022
