metric,min_duration_years,specification,event_time,count,att,se,ci_lo,ci_hi
m2_goods_exports_itpde,5,clean_single_spell,7,23,-0.16961158323777464,0.06652440776256485,-0.29999942245240174,-0.039223744023147544
m2_goods_exports_itpde,5,clean_single_spell,8,23,-0.1543352457548334,0.07199395875157623,-0.2954434049079228,-0.013227086601743987
m2_goods_exports_itpde,5,clean_single_spell,9,23,-0.1942572732465701,0.05387650392721851,-0.29985522094391837,-0.08865932554922183
m2_goods_exports_itpde,5,clean_single_spell,10,21,-0.14006688790253224,0.07207920685246394,-0.28134213333336155,0.001208357528297066
m2_goods_exports_itpde,5,clean_single_spell,11,18,-0.1793400234597028,0.08367960809702195,-0.3433520553298658,-0.015327991589539763
m2_goods_exports_itpde,5,clean_single_spell,12,16,-0.154202264981124,0.09576534937914143,-0.34190234976424116,0.033497819801993206
m2_goods_exports_itpde,5,clean_single_spell,13,16,-0.08724536796143174,0.07519127132139712,-0.23462025975137007,0.0601295238285066
m2_goods_exports_itpde,5,clean_single_spell,14,13,-0.06736781700175161,0.08921736291380371,-0.24223384831280687,0.10749821430930366
m2_goods_exports_itpde,5,clean_single_spell,15,9,-0.0818998544226232,0.10274383852125236,-0.28327777792427783,0.11947806907903143
m2_goods_exports_itpde,5,clean_single_spell,16,7,-0.07350059533749138,0.167092456836373,-0.4010018107367824,0.2540006200617997
m2_goods_exports_itpde,5,clean_single_spell,17,4,-0.08899339080916642,0.1475382318237914,-0.3781683251837975,0.2001815435654647
m2_goods_exports_itpde,5,clean_single_spell,18,3,0.24453042347066348,0.07162552109983009,0.10414440211499651,0.3849164448263305
m2_goods_exports_itpde,5,clean_single_spell,19,2,0.1541668855149245,0.18997911566695666,-0.21819218119231057,0.5265259522221596
m2_goods_exports_itpde,5,clean_single_spell,20,2,-0.02194224900012176,0.3233787553203432,-0.6557646094279944,0.6118801114277509
m2_goods_exports_itpde,5,risk_set_restricted,-27,1,-0.03474140852605656,0.047503491209902014,-0.12784825129746452,0.058365434245351386
m2_goods_exports_itpde,5,risk_set_restricted,-26,2,-0.09006981690890287,0.07717773483841416,-0.2413381771921946,0.061198543374388875
m2_goods_exports_itpde,5,risk_set_restricted,-25,3,-0.07808055339711299,0.04941696086534028,-0.17493779669317994,0.018776689898953952
m2_goods_exports_itpde,5,risk_set_restricted,-24,3,0.039547480981950066,0.1464697790245845,-0.24753328590623555,0.32662824787013567
m2_goods_exports_itpde,5,risk_set_restricted,-23,4,0.10203608939931055,0.1154540246142905,-0.12425379884469881,0.32832597764331994
m2_goods_exports_itpde,5,risk_set_restricted,-22,7,-0.07906602186606386,0.057748216888628516,-0.19225252696777576,0.034120483235648036
m2_goods_exports_itpde,5,risk_set_restricted,-21,9,0.09059583325887786,0.034496650667116456,0.022982397951329614,0.15820926856642611
m2_goods_exports_itpde,5,risk_set_restricted,-20,12,-2.295388799201277e-4,0.04178277175477307,-0.08212377151927533,0.08166469375943508
m2_goods_exports_itpde,5,risk_set_restricted,-19,14,0.014135905417735533,0.0454743344768848,-0.07499379015695867,0.10326560099242973
m2_goods_exports_itpde,5,risk_set_restricted,-18,17,0.0020364685437763153,0.03954576779508063,-0.07547323633458172,0.07954617342213435
m2_goods_exports_itpde,5,risk_set_restricted,-17,21,-0.026668555664824692,0.03227329278288572,-0.08992420951928069,0.03658709818963131
m2_goods_exports_itpde,5,risk_set_restricted,-16,25,-0.0354749074839367,0.03327735500687134,-0.10069852329740453,0.029748708329531116
m2_goods_exports_itpde,5,risk_set_restricted,-15,26,0.013675093383596697,0.03180114746574105,-0.048655155649255766,0.07600534241644916
m2_goods_exports_itpde,5,risk_set_restricted,-14,29,0.007321760557094138,0.02257872631134473,-0.036932543013141535,0.05157606412732981
m2_goods_exports_itpde,5,risk_set_restricted,-13,32,-0.04803591993464681,0.03533982084729621,-0.11730196879534738,0.02123012892605377
m2_goods_exports_itpde,5,risk_set_restricted,-12,33,0.01100683629692699,0.03165411770847776,-0.05103523441168942,0.0730489070055434
m2_goods_exports_itpde,5,risk_set_restricted,-11,34,-0.021405130784460744,0.026354803576024446,-0.07306054579346866,0.03025028422454717
