specification,weight_rank,iso3c,country_name,unit_weight
predetermined_plus_primary_gfc_2008_2009,19,SUR,Suriname,0.015881272569019503
predetermined_plus_primary_gfc_2008_2009,20,BRB,Barbados,0.015815408525790237
predetermined_plus_primary_gfc_2008_2009,21,ISL,Iceland,0.015765846146054432
predetermined_plus_primary_gfc_2008_2009,22,HUN,Hungary,0.015649802680450402
predetermined_plus_primary_gfc_2008_2009,23,MWI,Malawi,0.015404590085164387
predetermined_plus_primary_gfc_2008_2009,24,PNG,Papua New Guinea,0.014941331534680267
predetermined_plus_primary_gfc_2008_2009,25,TUN,Tunisia,0.014760972442941344
predetermined_plus_primary_gfc_2008_2009,26,KEN,Kenya,0.014634739725327273
predetermined_plus_primary_gfc_2008_2009,27,DNK,Denmark,0.014048250573330048
predetermined_plus_primary_gfc_2008_2009,28,HRV,Croatia,0.013962499390160395
predetermined_plus_primary_gfc_2008_2009,29,POL,Poland,0.013890265038756917
predetermined_plus_primary_gfc_2008_2009,30,SLV,El Salvador,0.013854248750147392
predetermined_plus_primary_gfc_2008_2009,31,TTO,Trinidad & Tobago,0.013796361697988353
predetermined_plus_primary_gfc_2008_2009,32,PAK,Pakistan,0.013787573327762022
predetermined_plus_primary_gfc_2008_2009,33,LTU,Lithuania,0.013715987100027197
predetermined_plus_primary_gfc_2008_2009,34,NIC,Nicaragua,0.013521571448884809
predetermined_plus_primary_gfc_2008_2009,35,EST,Estonia,0.013317938534467081
predetermined_plus_primary_gfc_2008_2009,36,NOR,Norway,0.01323834160921969
predetermined_plus_primary_gfc_2008_2009,37,JAM,Jamaica,0.012893149078705948
predetermined_plus_primary_gfc_2008_2009,38,MDV,Maldives,0.012155469831121797
predetermined_plus_primary_gfc_2008_2009,39,LBN,Lebanon,0.012120600952357632
predetermined_plus_primary_gfc_2008_2009,40,LVA,Latvia,0.01138781219245501
predetermined_plus_primary_gfc_2008_2009,41,TGO,Togo,0.011377740326383152
predetermined_plus_primary_gfc_2008_2009,42,ESP,Spain,0.011127318760301744
predetermined_plus_primary_gfc_2008_2009,43,MUS,Mauritius,0.011073670338427499
predetermined_plus_primary_gfc_2008_2009,44,ROU,Romania,0.010992984629093741
predetermined_plus_primary_gfc_2008_2009,45,SVN,Slovenia,0.0109482085092717
predetermined_plus_primary_gfc_2008_2009,46,BGR,Bulgaria,0.010662724729845271
predetermined_plus_primary_gfc_2008_2009,47,JOR,Jordan,0.010329403885018738
predetermined_plus_primary_gfc_2008_2009,48,AUT,Austria,0.010318296958348468
predetermined_plus_primary_gfc_2008_2009,49,CZE,Czechia,0.010220775503429588
predetermined_plus_primary_gfc_2008_2009,50,DZA,Algeria,0.009756349740849771
predetermined_plus_primary_gfc_2008_2009,51,GUY,Guyana,0.009732739530255158
predetermined_plus_primary_gfc_2008_2009,52,PAN,Panama,0.009443595658809293
predetermined_plus_primary_gfc_2008_2009,53,SWE,Sweden,0.009387925989848608
predetermined_plus_primary_gfc_2008_2009,54,QAT,Qatar,0.00913069935636177
predetermined_plus_primary_gfc_2008_2009,55,SEN,Senegal,0.00899698193597034
predetermined_plus_primary_gfc_2008_2009,56,FIN,Finland,0.008964906175529109
