specification,year_end,iso3c,estimate,rmspe_pre,status,error
predetermined_plus_primary_gfc_2008_2009,2015,DEU,0.12227075628208212,0.08660794950432349,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,DNK,-0.01363312964344665,0.04285268502356438,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,DOM,-0.0839285336860442,0.14436767575758264,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,DZA,-0.06519226465381496,0.16174575832793472,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,ECU,0.17643045401887253,0.07028906043916242,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,EGY,-0.09491084129553364,0.20110628808681838,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,ESP,-0.021640480783203398,0.038118440557611294,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,EST,0.03965044799841087,0.03309323923777405,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,FIN,-0.02966243447120304,0.05305955235574077,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,FJI,-0.08937761430119624,0.18207086403999995,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,FRA,-0.09858814813094738,0.061462173535147276,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,GAB,0.19513316869494732,0.05946953508120785,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,GBR,-0.006185818052824995,0.07094594938122487,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,GEO,0.07705966428695213,0.11245125999412857,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,GHA,-0.05942877440693271,0.08885847260090055,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,GIN,-0.0011208917125549828,0.07850161791029203,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,GRC,-0.3122028191538688,0.03991951503149512,estimated,
